sender_id,stremia,stremia_multiplied_1,stremia_multiplied_2,stremia_buyers_1,stremia_buyers_2,points_based_1,points_based_2,ITM_buyers,endurance,total_points_1,total_points_2,time,total_legs
0x742626cbaa066560f38221a7d7c04cc56ecd775e,0.0,0.0,0.0,0.0,0.0,6.525453306064e-05,2.1095874370918236e-06,0,0,6.525453306064e-05,2.1095874370918236e-06,6.82e-07,956.8113352
0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5,0.24741652439999995,0.24741652439999998,0.49740981534344497,0.0,0.0,0.0081166275193505,0.0011325497885556538,0,0,0.2555331519193505,0.4985423651320006,0.0015802980000000002,51.361373104
0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,0.01478294918,0.014782949180000001,0.12158515197177656,0.0,0.0,0.0008356638582692962,2.814324439128579e-05,0,0,0.015618613038269297,0.12161329521616784,9.478000000000001e-06,881.68797032
0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5,4.492121435,4.492121435,2.119462534464811,0.0,0.0,0.12515537960641612,0.004435958721195479,0,0,4.617276814606416,2.1238984931860063,0.001572264,796.02013152
0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5,3.624199256999999,3.624199256999999,1.90373297943803,0.0,0.0,0.12323699192018081,0.004400432880370462,0,0,3.74743624892018,1.9081334123184004,0.0015712660000000002,784.31654424
0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,42.687664757,42.68766475700001,6.533579781176626,0.0,0.0,,,0,0,,,,255.48954528000002
0x1718e06694adb7806435b70fe0c94c39b952331d,9.747373645,9.747373645,3.1220784174969083,0.0,0.0,0.06232208,0.002203418269282526,0,0,9.809695725,3.124281835766191,0.000779026,800.0
0xf1ac29b67d0695546123185776afffb3be7dc4d1,0.1289899,0.1289899,0.3591516392834648,0.0,0.0,0.0007141733825569644,0.00013989611040424974,0,0,0.12970407338255696,0.35929153539386904,0.000274036,26.061297878999998
0xa904a0f8b4f0292785ad610dae1084a916142a77,-2.248559559,0.0,0.0,2.248559559,1.4995197761283443,0.006495804,0.00040919718927187175,0,0,2.255055363,1.4999289733176162,0.00025777,252.0
0xa904a0f8b4f0292785ad610dae1084a916142a77,1.1925373979999998,1.1925373979999998,1.0920336066257303,0.0,0.0,0.2310773502793158,0.006628021548489519,0,0,1.4236147482793156,1.0986616281742199,0.0019011240000000001,1215.4775295
